   0 Microsoft Sound Mapper - Input, MME (2 in, 0 out)
>  1 Microphone (Realtek(R) Audio), MME (2 in, 0 out)
   2 Microphone Array (AMD Audio Dev, MME (2 in, 0 out)
   3 Microsoft Sound Mapper - Output, MME (0 in, 2 out)
<  4 Headphones (Realtek(R) Audio), MME (0 in, 2 out)
   5 Speakers (Realtek(R) Audio), MME (0 in, 2 out)
   6 Primary Sound Capture Driver, Windows DirectSound (2 in, 0 out)
   7 Microphone (Realtek(R) Audio), Windows DirectSound (2 in, 0 out)
   8 Microphone Array (AMD Audio Device), Windows DirectSound (2 in, 0 out)
   9 Primary Sound Driver, Windows DirectSound (0 in, 2 out)
  10 Headphones (Realtek(R) Audio), Windows DirectSound (0 in, 2 out)
  11 Speakers (Realtek(R) Audio), Windows DirectSound (0 in, 2 out)
  12 Headphones (Realtek(R) Audio), Windows WASAPI (0 in, 2 out)
  13 Speakers (Realtek(R) Audio), Windows WASAPI (0 in, 2 out)
  14 Microphone (Realtek(R) Audio), Windows WASAPI (2 in, 0 out)
  15 Microphone Array (AMD Audio Device), Windows WASAPI (2 in, 0 out)
  16 Microphone Array (AMDAfdInstall Wave Microphone - 1), Windows WDM-KS (2 in, 0 out)
  17 Recording Control (AMDAfdInstall Wave Microphone - 1), Windows WDM-KS (0 in, 2 out)
  18 Speakers 1 (Realtek HD Audio output with HAP), Windows WDM-KS (0 in, 2 out)
  19 Speakers 2 (Realtek HD Audio output with HAP), Windows WDM-KS (0 in, 2 out)
  20 PC Speaker (Realtek HD Audio output with HAP), Windows WDM-KS (2 in, 0 out)
  21 Headphones (Realtek HD Audio 2nd output), Windows WDM-KS (0 in, 2 out)
  22 Stereo Mix (Realtek HD Audio Stereo input), Windows WDM-KS (2 in, 0 out)
  23 Microphone (Realtek HD Audio Mic input), Windows WDM-KS (2 in, 0 out)
